City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
6,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Kawalu,ID,77.95,overcast clouds,-7.3817,108.2082,West Jontor
8,Bengkulu,ID,83.68,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,Banda Aceh,ID,87.35,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
16,Mogadishu,SO,75.56,broken clouds,2.0371,45.3438,Hotel Juba
24,Coahuayana,MX,79.75,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
26,Gannan,CN,88.59,few clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
31,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Dongsheng,CN,81.61,clear sky,39.8161,109.9776,Crowne Plaza Ordos
33,Ciudad Bolivar,VE,77.7,overcast clouds,8.1222,-63.5497,Hotel Edi
36,Kavieng,PG,83.12,light rain,-2.5744,150.7967,Nusa Island Retreat
40,Sibolga,ID,86.05,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
41,Mundo Nuevo,MX,80.87,scattered clouds,18.7,-95.5,NaN
42,Phan Thiet,VN,84.51,overcast clouds,10.9333,108.1,Hotel Saigon-PT
45,Marawi,PH,78.22,broken clouds,7.9986,124.2928,Derogongan Residence
47,Carolina,PR,82.96,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
48,Merke,KZ,88.92,clear sky,42.8728,73.1786,Gostinitsa Merki
49,Butaritari,KI,80.91,moderate rain,3.0707,172.7902,Isles Sunset Lodge
55,Bethel,US,79.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
57,Lorengau,PG,84.25,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
62,Araouane,ML,84.7,light rain,18.9048,-3.5265,NaN
66,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
71,Nara,JP,87.17,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
73,Davidson,US,88.25,haze,36.1501,-86.7833,Best Western Plus Music Row
75,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
79,Amazar,RU,81.9,scattered clouds,53.858,120.875,Гостиничный Комплекс Уют
80,Kavaratti,IN,80.98,overcast clouds,10.5669,72.642,Green leaf
92,Hithadhoo,MV,80.78,overcast clouds,-0.6,73.0833,Scoop Guest House
95,Albany,US,81.01,few clouds,42.6001,-73.9662,NaN
99,Moss Point,US,84.43,clear sky,30.4116,-88.5345,"Holiday Inn Express Pascagoula-Moss Point, an IHG Hotel"
101,Galdar,ES,79.3,scattered clouds,28.147,-15.6502,Hostel Guide
102,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
107,Mapimi,MX,84.06,scattered clouds,25.8167,-103.85,Propiedad Lldm
109,Den Chai,TH,84.27,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
110,Jamestown,US,76.59,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
111,Vanimo,PG,86.77,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
115,Lynchburg,US,80.74,clear sky,37.4138,-79.1423,Econo Lodge
117,Sihora,IN,83.53,overcast clouds,23.4833,80.1167,Hotel Yash Raj Sihora
131,Ugoofaaru,MV,81.95,overcast clouds,5.6667,73.0,Ungoofaaru Inn
134,Sur,OM,86.29,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
137,Champerico,GT,81.45,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
142,Atuona,PF,77.59,scattered clouds,-9.8,-139.0333,Villa Enata
147,At-Bashi,KG,76.62,clear sky,41.1702,75.8106,Hostel At-Bashy
148,Wanning,CN,83.73,few clouds,18.8003,110.3967,Paradise Hotel
149,Lumberton,US,80.91,broken clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
