City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.26,77,0,5.7,light rain
1,Alofi,NU,-19.0595,-169.9187,76.89,69,1,13.8,clear sky
2,Yellowknife,CA,62.456,-114.3525,66.72,42,20,10.36,few clouds
3,Boundiali,CI,9.5217,-6.4869,68.68,96,100,6.38,overcast clouds
4,Challapata,BO,-18.9,-66.7667,45.1,31,9,5.03,clear sky
5,Kolyshley,RU,52.7005,44.5367,57.81,91,100,7.16,light rain
6,Vaini,TO,-21.2,-175.2,77.16,83,20,8.05,few clouds
7,Kawalu,ID,-7.3817,108.2082,77.95,75,94,4.76,overcast clouds
8,Bengkulu,ID,-3.8004,102.2655,83.68,68,24,3.98,few clouds
9,Busselton,AU,-33.65,115.3333,60.35,72,41,17.18,scattered clouds
10,Tiksi,RU,71.6872,128.8694,42.33,78,17,21.63,few clouds
11,Cape Town,ZA,-33.9258,18.4232,55.38,77,0,2.3,clear sky
12,Banda Aceh,ID,5.5577,95.3222,87.35,58,85,12.3,overcast clouds
13,Kabare,CD,-2.4683,28.8242,57.4,79,10,1.28,clear sky
14,Faya,SA,18.3851,42.4509,64.92,53,97,5.35,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,47.48,86,100,3.22,overcast clouds
16,Mogadishu,SO,2.0371,45.3438,75.56,83,68,17.54,broken clouds
17,Lebu,CL,-37.6167,-73.65,50.36,92,100,3.6,overcast clouds
18,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,82,0,0.0,clear sky
19,Kodiak,US,57.79,-152.4072,56.71,67,20,10.36,few clouds
20,Torbay,CA,47.6666,-52.7314,62.76,88,100,34.52,overcast clouds
21,Dukat,RU,62.55,155.55,50.5,45,100,7.81,overcast clouds
22,Cherskiy,RU,68.75,161.3,47.57,40,14,19.39,few clouds
23,Ushuaia,AR,-54.8,-68.3,29.86,86,100,18.41,light snow
24,Coahuayana,MX,18.7333,-103.6833,79.75,94,14,2.17,few clouds
25,Porto Walter,BR,-8.2686,-72.7439,70.03,81,5,0.94,clear sky
26,Gannan,CN,47.9147,123.5031,88.59,46,18,1.12,few clouds
27,Bluff,NZ,-46.6,168.3333,47.8,71,100,8.66,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,49.5,75,1,5.53,clear sky
29,Cidreira,BR,-30.1811,-50.2056,60.84,95,4,12.33,clear sky
30,Avarua,CK,-21.2078,-159.775,69.85,78,75,13.8,light rain
31,Kapaa,US,22.0752,-159.319,84.18,73,40,17.27,scattered clouds
32,Dongsheng,CN,39.8161,109.9776,81.61,25,4,3.2,clear sky
33,Ciudad Bolivar,VE,8.1222,-63.5497,77.7,86,100,5.32,overcast clouds
34,Okhotsk,RU,59.3833,143.3,62.96,82,98,7.14,overcast clouds
35,Lamu,KE,-2.2717,40.902,71.82,84,33,14.43,light rain
36,Kavieng,PG,-2.5744,150.7967,83.12,74,98,9.86,light rain
37,Bredasdorp,ZA,-34.5322,20.0403,43.29,88,0,5.14,clear sky
38,Talnakh,RU,69.4865,88.3972,57.4,68,100,11.12,overcast clouds
39,Muros,ES,42.7762,-9.0603,64.83,84,6,8.84,clear sky
40,Sibolga,ID,1.7427,98.7792,86.05,59,52,4.43,broken clouds
41,Mundo Nuevo,MX,18.7,-95.5,80.87,73,31,7.67,scattered clouds
42,Phan Thiet,VN,10.9333,108.1,84.51,69,99,5.35,overcast clouds
43,Ponta Do Sol,PT,32.6667,-17.1,72.72,67,9,6.96,clear sky
44,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,5.7,overcast clouds
45,Marawi,PH,7.9986,124.2928,78.22,80,74,5.41,broken clouds
46,Sept-Iles,CA,50.2001,-66.3821,66.2,66,0,5.75,clear sky
47,Carolina,PR,18.3808,-65.9574,82.96,86,40,11.5,scattered clouds
48,Merke,KZ,42.8728,73.1786,88.92,16,0,5.88,clear sky
49,Butaritari,KI,3.0707,172.7902,80.91,77,93,8.03,moderate rain
50,Severo-Kurilsk,RU,50.6789,156.125,52.02,97,98,14.29,light rain
51,Moose Factory,CA,51.2585,-80.6094,62.6,94,100,9.22,moderate rain
52,Dobrun,RU,53.1851,34.2462,57.27,93,75,15.99,broken clouds
53,Ahipara,NZ,-35.1667,173.1667,57.31,64,13,17.54,few clouds
54,Pevek,RU,69.7008,170.3133,32.25,93,98,16.78,overcast clouds
55,Bethel,US,41.3712,-73.414,79.63,81,1,1.01,clear sky
56,Dikson,RU,73.5069,80.5464,38.34,95,100,31.81,light rain
57,Lorengau,PG,-2.0226,147.2712,84.25,67,89,4.72,heavy intensity rain
58,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,100,4.61,overcast clouds
59,Hofn,IS,64.2539,-15.2082,51.94,80,50,5.17,scattered clouds
60,Benguela,AO,-12.5763,13.4055,65.48,89,8,4.29,clear sky
61,Nizhniy Ingash,RU,56.2,96.53,73.89,40,82,5.46,broken clouds
62,Araouane,ML,18.9048,-3.5265,84.7,54,20,6.4,light rain
63,Lata,PT,40.1629,-8.3327,58.96,88,0,1.52,clear sky
64,Sitka,US,57.0531,-135.33,55.29,88,100,9.22,light rain
65,Agirish,RU,61.9247,63.0231,62.69,46,97,10.89,overcast clouds
66,Hilo,US,19.7297,-155.09,78.53,81,20,10.36,few clouds
67,Clyde River,CA,70.4692,-68.5914,35.83,100,100,13.8,light rain
68,Sonneberg,DE,50.35,11.1667,68.5,86,72,1.99,broken clouds
69,Kenora,CA,49.8167,-94.4337,70.77,52,20,6.91,few clouds
70,Springbok,ZA,-29.6643,17.8865,41.9,63,0,5.44,clear sky
71,Nara,JP,34.6851,135.8049,87.17,52,92,8.46,overcast clouds
72,Esperance,AU,-33.8667,121.9,57.04,68,100,17.67,light rain
73,Davidson,US,36.1501,-86.7833,88.25,75,20,10.36,haze
74,Saskylakh,RU,71.9167,114.0833,59.02,46,30,19.62,scattered clouds
75,Georgetown,MY,5.4112,100.3354,87.89,72,20,3.44,few clouds
76,Carnarvon,AU,-24.8667,113.6333,68.07,94,100,17.27,overcast clouds
77,Saint George,US,37.1041,-113.5841,100.99,19,0,10.36,clear sky
78,New Norfolk,AU,-42.7826,147.0587,51.93,53,0,2.1,clear sky
79,Amazar,RU,53.858,120.875,81.9,50,35,3.24,scattered clouds
80,Kavaratti,IN,10.5669,72.642,80.98,79,100,20.29,overcast clouds
81,Aripuana,BR,-9.1667,-60.6333,71.38,53,0,2.01,clear sky
82,Newtownards,GB,54.5924,-5.6909,57.15,82,100,5.75,overcast clouds
83,Plouzane,FR,48.3833,-4.6167,60.85,83,100,5.75,overcast clouds
84,Buenos Aires,AR,-34.6132,-58.3772,58.95,92,0,4.61,clear sky
85,Bushehr,IR,28.9684,50.8385,91.49,62,2,11.5,clear sky
86,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,75,20.71,light intensity shower rain
87,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,47,16.62,light rain
88,Gravdal,NO,68.1214,13.5031,55.18,84,100,9.98,overcast clouds
89,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,20,15.93,light rain
90,Soyo,AO,-6.1349,12.3689,68.25,94,10,5.84,clear sky
91,Effium,NG,6.6292,8.0593,71.82,94,100,4.83,overcast clouds
92,Hithadhoo,MV,-0.6,73.0833,80.78,71,100,5.28,overcast clouds
93,Burnie,AU,-41.0667,145.9167,55.92,67,89,11.97,overcast clouds
94,Chute-Aux-Outardes,CA,49.1168,-68.399,58.98,88,0,2.3,clear sky
95,Albany,US,42.6001,-73.9662,81.01,72,15,4.94,few clouds
96,Hobart,AU,-42.8794,147.3294,52.27,64,20,5.75,few clouds
97,Pimentel,PE,-6.8367,-79.9342,62.15,87,15,13.8,few clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,70.29,83,41,9.95,scattered clouds
99,Moss Point,US,30.4116,-88.5345,84.43,91,10,11.34,clear sky
100,Port Alfred,ZA,-33.5906,26.891,55.18,95,67,3.0,broken clouds
101,Galdar,ES,28.147,-15.6502,79.3,74,27,13.82,scattered clouds
102,Acapulco,MX,16.8634,-99.8901,84.02,84,40,4.61,scattered clouds
103,Roald,NO,62.5833,6.1333,60.17,88,100,5.75,overcast clouds
104,Khatanga,RU,71.9667,102.5,54.63,49,100,20.54,overcast clouds
105,Ribeira Grande,PT,38.5167,-28.7,72.41,86,7,3.4,clear sky
106,Belaya Gora,RU,68.5333,146.4167,61.29,43,19,6.82,few clouds
107,Mapimi,MX,25.8167,-103.85,84.06,26,48,6.71,scattered clouds
