City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Laguna,US,2022-07-17 22:24:10,38.421,-121.4238,108.32,21,0,8.05
1,Chaoyang,CN,2022-07-17 22:24:11,41.5703,120.4586,67.86,85,0,4.52
2,San Cristobal,VE,2022-07-17 22:24:11,7.7669,-72.225,78.98,68,48,4.85
3,Bredasdorp,ZA,2022-07-17 22:24:11,-34.5322,20.0403,53.22,87,0,4.25
4,Richards Bay,ZA,2022-07-17 22:24:12,-28.783,32.0377,65.19,87,0,9.82
5,Nyaunglebin,MM,2022-07-17 22:24:13,17.95,96.7333,76.3,95,86,2.37
6,Suntar,RU,2022-07-17 22:24:13,62.1444,117.6319,56.61,94,100,2.98
7,Farmington,US,2022-07-17 22:21:18,36.7281,-108.2187,101.77,13,0,10.36
8,Oranjemund,NA,2022-07-17 22:24:14,-28.55,16.4333,57.6,82,0,5.75
9,Busselton,AU,2022-07-17 22:24:15,-33.65,115.3333,54.19,91,99,14.41
10,Albany,US,2022-07-17 22:24:15,42.6001,-73.9662,88.63,50,99,1.01
11,Priyutovo,RU,2022-07-17 22:24:15,53.9,53.9333,63.01,82,86,3.06
12,Chuy,UY,2022-07-17 22:24:16,-33.6971,-53.4616,44.87,81,0,6.82
13,Fortuna,US,2022-07-17 22:24:16,40.5982,-124.1573,69.85,71,6,5.99
14,Saldanha,ZA,2022-07-17 22:24:17,-33.0117,17.9442,50.05,92,0,8.28
15,Vaini,TO,2022-07-17 22:24:17,-21.2,-175.2,77.16,88,75,9.22
16,Rikitea,PF,2022-07-17 22:24:18,-23.1203,-134.9692,73.17,81,89,13.47
17,Escarcega,MX,2022-07-17 22:23:21,18.6089,-90.7454,94.64,35,100,6.26
18,Khatanga,RU,2022-07-17 22:24:16,71.9667,102.5,58.5,60,100,4.63
19,Kon Tum,VN,2022-07-17 22:24:20,14.35,108.0,71.82,99,100,1.81
20,Touros,BR,2022-07-17 22:24:21,-5.1989,-35.4608,77.38,78,58,15.64
21,Quimper,FR,2022-07-17 22:24:21,48.0,-4.1,73.98,56,0,5.75
22,Mataura,NZ,2022-07-17 22:24:22,-46.1927,168.8643,53.47,57,98,12.55
23,Avarua,CK,2022-07-17 22:24:22,-21.2078,-159.775,73.45,83,100,5.75
24,Barrow,US,2022-07-17 22:24:23,71.2906,-156.7887,41.02,87,100,14.97
25,Pevek,RU,2022-07-17 22:24:24,69.7008,170.3133,31.71,92,100,29.62
26,Salym,RU,2022-07-17 22:24:24,60.0625,71.4789,54.09,84,12,5.19
27,Kupang,ID,2022-07-17 22:24:25,-10.1667,123.5833,70.66,79,26,8.1
28,Santa Maria,BR,2022-07-17 22:24:25,-29.6842,-53.8069,49.3,87,75,0.0
29,Port Alfred,ZA,2022-07-17 22:24:26,-33.5906,26.891,68.94,36,0,12.08
30,Colares,PT,2022-07-17 22:24:26,38.7992,-9.4469,71.29,73,20,14.0
31,Nikolskoye,RU,2022-07-17 22:24:26,59.7035,30.7861,55.29,96,100,5.08
32,Atuona,PF,2022-07-17 22:20:16,-9.8,-139.0333,77.97,78,11,19.82
33,Launceston,AU,2022-07-17 22:24:27,-41.45,147.1667,40.64,65,75,5.75
34,Punta Arenas,CL,2022-07-17 22:24:28,-53.15,-70.9167,35.71,80,0,20.71
35,Yellowknife,CA,2022-07-17 22:24:28,62.456,-114.3525,63.12,82,100,11.5
36,Bluff,NZ,2022-07-17 22:24:29,-46.6,168.3333,53.8,64,100,20.62
37,Ushuaia,AR,2022-07-17 22:22:29,-54.8,-68.3,40.66,48,20,9.22
38,Tiksi,RU,2022-07-17 22:24:30,71.6872,128.8694,39.16,73,100,5.75
39,Northam,GB,2022-07-17 22:24:30,51.0333,-4.2167,68.61,45,69,7.94
40,Kakching,IN,2022-07-17 22:24:31,24.4833,93.9833,70.2,99,97,1.88
41,Hervey Bay,AU,2022-07-17 22:25:31,-25.2986,152.8535,58.01,92,67,14.0
42,Hambantota,LK,2022-07-17 22:25:32,6.1241,81.1185,79.92,79,100,15.9
43,Santa Isabel Do Rio Negro,BR,2022-07-17 22:25:32,-0.4139,-65.0192,82.35,73,51,2.89
44,Cape Town,ZA,2022-07-17 22:25:33,-33.9258,18.4232,58.26,88,75,9.22
45,Morant Bay,JM,2022-07-17 22:25:33,17.8815,-76.4093,89.22,73,62,14.16
46,Abu Kamal,SY,2022-07-17 22:25:33,34.4506,40.9171,90.03,21,0,9.01
47,Ribeira Grande,PT,2022-07-17 22:24:21,38.5167,-28.7,72.36,91,6,6.44
48,Novosokolniki,RU,2022-07-17 22:25:34,56.3463,30.1578,51.46,94,94,5.19
49,Natitingou,BJ,2022-07-17 22:25:34,10.3042,1.3796,70.77,96,95,3.51
50,Port-Gentil,GA,2022-07-17 22:25:35,-0.7193,8.7815,75.16,83,75,6.91
51,Ust-Uda,RU,2022-07-17 22:25:35,54.1742,103.0304,53.06,95,85,2.82
52,Severo-Kurilsk,RU,2022-07-17 22:23:59,50.6789,156.125,55.76,93,100,2.37
53,Sozimskiy,RU,2022-07-17 22:25:36,59.7418,52.2482,56.68,74,2,3.36
54,Hermanus,ZA,2022-07-17 22:25:37,-34.4187,19.2345,52.81,82,0,8.12
55,Damghan,IR,2022-07-17 22:25:37,36.1683,54.348,79.56,35,0,2.86
56,East London,ZA,2022-07-17 22:23:03,-33.0153,27.9116,68.38,32,0,7.87
57,Haines Junction,CA,2022-07-17 22:25:38,60.7522,-137.5108,62.55,51,96,5.75
58,Beringovskiy,RU,2022-07-17 22:25:39,63.05,179.3167,46.71,48,12,23.44
59,Puerto Ayora,EC,2022-07-17 22:25:39,-0.7393,-90.3518,76.96,92,66,5.99
60,Chokurdakh,RU,2022-07-17 22:25:40,70.6333,147.9167,47.91,57,8,11.79
61,Upington,ZA,2022-07-17 22:25:40,-28.4478,21.2561,52.18,58,0,8.05
62,Kapaa,US,2022-07-17 22:25:40,22.0752,-159.319,85.98,76,100,16.11
63,Hilo,US,2022-07-17 22:25:41,19.7297,-155.09,92.28,74,100,13.8
64,Havoysund,NO,2022-07-17 22:25:41,70.9963,24.6622,52.03,84,63,4.9
65,Hobart,AU,2022-07-17 22:25:10,-42.8794,147.3294,37.26,84,40,10.36
66,Esperance,AU,2022-07-17 22:24:18,-33.8667,121.9,53.44,94,100,15.43
67,Bardiyah,LY,2022-07-17 22:25:42,31.7561,25.0865,78.37,67,0,11.65
68,Zyryanka,RU,2022-07-17 22:25:43,65.75,150.85,58.71,47,66,2.26
69,Algiers,DZ,2022-07-17 22:25:43,36.7525,3.042,71.42,88,20,3.44
70,Butaritari,KI,2022-07-17 22:25:44,3.0707,172.7902,81.86,74,75,11.59
71,Sonoita,MX,2022-07-17 22:25:44,31.85,-112.8333,100.35,28,56,13.31
72,Kisiwani,TZ,2022-07-17 22:25:45,-4.1333,37.95,65.71,78,87,2.93
73,Faanui,PF,2022-07-17 22:25:45,-16.4833,-151.75,77.29,68,83,16.64
74,Kawalu,ID,2022-07-17 22:25:45,-7.3817,108.2082,71.76,96,100,1.61
75,Shenjiamen,CN,2022-07-17 22:25:46,29.9576,122.298,77.38,95,100,8.75
76,New Norfolk,AU,2022-07-17 22:25:46,-42.7826,147.0587,36.91,82,88,4.41
77,Mar Del Plata,AR,2022-07-17 22:25:47,-38.0023,-57.5575,55.09,51,0,18.41
78,Peachtree City,US,2022-07-17 22:25:47,33.3968,-84.5958,92.17,53,40,8.05
79,Ayorou,NE,2022-07-17 22:25:47,14.7308,0.9174,88.43,47,82,9.78
80,Kitami,JP,2022-07-17 22:25:48,43.8031,143.8908,70.29,89,50,4.47
81,Sur,OM,2022-07-17 22:25:49,22.5667,59.5289,86.36,69,100,8.99
82,Ostrovnoy,RU,2022-07-17 22:25:49,68.0531,39.5131,55.27,78,74,9.17
83,Kaeo,NZ,2022-07-17 22:25:49,-35.1,173.7833,52.32,95,100,7.4
84,Kaitangata,NZ,2022-07-17 22:26:50,-46.2817,169.8464,51.1,72,88,6.31
85,Mangan,IN,2022-07-17 22:26:50,27.5167,88.5333,76.39,92,88,1.25
86,Nanortalik,GL,2022-07-17 22:26:51,60.1432,-45.2371,43.05,87,94,12.33
87,Yumen,CN,2022-07-17 22:26:51,40.2833,97.2,72.86,35,100,15.03
88,Sinnamary,GF,2022-07-17 22:26:51,5.3833,-52.95,78.69,81,85,6.15
89,Coswig,DE,2022-07-17 22:26:52,51.1333,13.5833,62.01,56,0,3.44
90,Glenwood Springs,US,2022-07-17 22:26:52,39.5505,-107.3248,97.72,21,40,0.0
91,Mangrol,IN,2022-07-17 22:26:53,21.1167,70.1167,80.55,83,100,17.0
